Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
5540_South_WOOD_@5540_S_WOOD_ST@.html,5540_South_WOOD_,5540_S_WOOD_ST,5540 South WOOD ,5540 S WOOD ST,"Chicago, IL","5540 S WOOD ST, Chicago, IL","1", Daily Maroon,November,"19","1976",,"-87.6696523","41.7924425","5540 s wood st, chicago, il 60636, usa"
5540_South_WOOD_@5540_S_WOOD_ST@.html,5540_South_WOOD_,5540_S_WOOD_ST,5540 South WOOD ,5540 S WOOD ST,"Chicago, IL","5540 S WOOD ST, Chicago, IL","1", Daily Maroon,February,"10","1967",,"-87.6696523","41.7924425","5540 s wood st, chicago, il 60636, usa"
314_S._MICHIGAN_@314_S_MICHIGAN_AVE@.html,314_S._MICHIGAN_,314_S_MICHIGAN_AVE,314 S. MICHIGAN ,314 S MICHIGAN AVE,"Chicago, IL","314 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,January,"25","1918",,"-87.6246417","41.8777267","314 s michigan ave, chicago, il 60604, usa"
314_S._MICHIGAN_@314_S_MICHIGAN_AVE@.html,314_S._MICHIGAN_,314_S_MICHIGAN_AVE,314 S. MICHIGAN ,314 S MICHIGAN AVE,"Chicago, IL","314 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,August,"4","1919",,"-87.6246417","41.8777267","314 s michigan ave, chicago, il 60604, usa"
208_South_CLARK_@208_S_CLARK_ST@.html,208_South_CLARK_,208_S_CLARK_ST,208 South CLARK ,208 S CLARK ST,"Chicago, IL","208 S CLARK ST, Chicago, IL","1", Daily Maroon,May,"23","1905",,"-87.6310709","41.8791889","208 s clark st, chicago, il 60604, usa"
212_South_HALSTED_@212_S_HALSTED_ST@.html,212_South_HALSTED_,212_S_HALSTED_ST,212 South HALSTED ,212 S HALSTED ST,"Chicago, IL","212 S HALSTED ST, Chicago, IL","1", Daily Maroon,September,"24","1976",,"-87.6477105","41.8786577","212 s halsted st, chicago, il 60661, usa"
204_South_STATE_@204_S_STATE_ST@.html,204_South_STATE_,204_S_STATE_ST,204 South STATE ,204 S STATE ST,"Chicago, IL","204 S STATE ST, Chicago, IL","1", Daily Maroon,March,"30","1956",,"-87.6280677","41.879268","204 s state st, chicago, il 60604, usa"
4859_South_WABASH_@4859_S_WABASH_AVE@.html,4859_South_WABASH_,4859_S_WABASH_AVE,4859 South WABASH ,4859 S WABASH AVE,"Chicago, IL","4859 S WABASH AVE, Chicago, IL","1", Daily Maroon,February,"15","1963",,"-87.623957","41.8063231","4859 s wabash ave, chicago, il 60615, usa"
5344_S._GREEN_@5344_S_GREEN_ST@.html,5344_S._GREEN_,5344_S_GREEN_ST,5344 S. GREEN ,5344 S GREEN ST,"Chicago, IL","5344 S GREEN ST, Chicago, IL","1", Daily Maroon,November,"15","1985",,"-87.648452","41.8792076","s green st, chicago, il 60607, usa"
5344_S._GREEN_@5344_S_GREEN_ST@.html,5344_S._GREEN_,5344_S_GREEN_ST,5344 S. GREEN ,5344 S GREEN ST,"Chicago, IL","5344 S GREEN ST, Chicago, IL","1", Daily Maroon,November,"26","1985",,"-87.648452","41.8792076","s green st, chicago, il 60607, usa"
5455_S._HYDE_PARK_@5455_S_HYDE_PARK_BLVD@.html,5455_S._HYDE_PARK_,5455_S_HYDE_PARK_BLVD,5455 S. HYDE PARK ,5455 S HYDE PARK BLVD,"Chicago, IL","5455 S HYDE PARK BLVD, Chicago, IL","1", Daily Maroon,June,"5","1970",,"-87.58357","41.796566","5455 s hyde park blvd, chicago, il 60615, usa"
5530_South_CORNELL_@5530_S_CORNELL_AVE@.html,5530_South_CORNELL_,5530_S_CORNELL_AVE,5530 South CORNELL ,5530 S CORNELL AVE,"Chicago, IL","5530 S CORNELL AVE, Chicago, IL","1", Daily Maroon,July,"20","1984",,"-87.586116","41.7943179","5530 s cornell ave, chicago, il 60637, usa"
5337_South_HYDE_PARK_@5337_S_HYDE_PARK_BLVD@.html,5337_South_HYDE_PARK_,5337_S_HYDE_PARK_BLVD,5337 South HYDE PARK ,5337 S HYDE PARK BLVD,"Chicago, IL","5337 S HYDE PARK BLVD, Chicago, IL","1", Daily Maroon,October,"5","1982",,"-87.5837146","41.7984573","5337 s hyde park blvd, chicago, il 60615, usa"
5337_South_HYDE_PARK_@5337_S_HYDE_PARK_BLVD@.html,5337_South_HYDE_PARK_,5337_S_HYDE_PARK_BLVD,5337 South HYDE PARK ,5337 S HYDE PARK BLVD,"Chicago, IL","5337 S HYDE PARK BLVD, Chicago, IL","1", Daily Maroon,February,"12","1982",,"-87.5837146","41.7984573","5337 s hyde park blvd, chicago, il 60615, usa"
203_S._DEARBORN_@203_S_DEARBORN_ST@.html,203_S._DEARBORN_,203_S_DEARBORN_ST,203 S. DEARBORN ,203 S DEARBORN ST,"Chicago, IL","203 S DEARBORN ST, Chicago, IL","1", Daily Maroon,May,"12","1918",,"-87.629083","41.8793929","203 s dearborn st, chicago, il 60604, usa"
720_South_MICHIGAN_@720_S_MICHIGAN_AVE@.html,720_South_MICHIGAN_,720_S_MICHIGAN_AVE,720 South MICHIGAN ,720 S MICHIGAN AVE,"Chicago, IL","720 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,October,"16","1964",,"-87.6244547","41.8729495","720 s michigan ave, chicago, il 60605, usa"
200_S._HALSTED_@200_S_HALSTED_ST@.html,200_S._HALSTED_,200_S_HALSTED_ST,200 S. HALSTED ,200 S HALSTED ST,"Chicago, IL","200 S HALSTED ST, Chicago, IL","1", Daily Maroon,May,"2","1986",,"-87.6475537","41.8789658","200 s halsted st, chicago, il 60661, usa"
3165_S._WABASH_@3165_S_WABASH_AVE@.html,3165_S._WABASH_,3165_S_WABASH_AVE,3165 S. WABASH ,3165 S WABASH AVE,"Chicago, IL","3165 S WABASH AVE, Chicago, IL","1", Daily Maroon,November,"14","1986",,"-87.625149","41.8390445","3165 s wabash ave, chicago, il 60616, usa"
10314_S._OAKLEY_@10314_S_OAKLEY_AVE@.html,10314_S._OAKLEY_,10314_S_OAKLEY_AVE,10314 S. OAKLEY ,10314 S OAKLEY AVE,"Chicago, IL","10314 S OAKLEY AVE, Chicago, IL","1", Medicine on the Midway,January,,"1979"," Vol. 34,  No. 2","-87.6794362","41.7058586","10314 s oakley ave, chicago, il 60643, usa"
5000_S._CORNELL_@5000_S_CORNELL_AVE@.html,5000_S._CORNELL_,5000_S_CORNELL_AVE,5000 S. CORNELL ,5000 S CORNELL AVE,"Chicago, IL","5000 S CORNELL AVE, Chicago, IL","1", Medicine on the Midway,January,,"1979"," Vol. 34,  No. 2","-87.586759","41.804342","5000 s cornell ave, chicago, il 60615, usa"
3525_South_MICHIGAN_@3525_S_MICHIGAN_AVE@.html,3525_South_MICHIGAN_,3525_S_MICHIGAN_AVE,3525 South MICHIGAN ,3525 S MICHIGAN AVE,"Chicago, IL","3525 S MICHIGAN AVE, Chicago, IL","1", Medicine on the Midway,October,,"1959"," Vol. 16,  No. 1","-87.6228823","41.8302082","3525 s michigan ave, chicago, il 60653, usa"
122_South_MICHIGAN_@122_S_MICHIGAN_AVE@.html,122_South_MICHIGAN_,122_S_MICHIGAN_AVE,122 South MICHIGAN ,122 S MICHIGAN AVE,"Chicago, IL","122 S MICHIGAN AVE, Chicago, IL","1", Medicine on the Midway,April,,"1953"," Vol. 9,  No. 3","-87.624695","41.8800946","122 s michigan ave, chicago, il 60603, usa"
223_South_LEAVITT_@223_S_LEAVITT_ST@.html,223_South_LEAVITT_,223_S_LEAVITT_ST,223 South LEAVITT ,223 S LEAVITT ST,"Chicago, IL","223 S LEAVITT ST, Chicago, IL","1", Quarterly Calendar,February,,"1896"," Vol. 4,  No. 3","-87.6811834","41.8779671","223 s leavitt st, chicago, il 60612, usa"
109_South_LEAVITT_@109_S_LEAVITT_ST@.html,109_South_LEAVITT_,109_S_LEAVITT_ST,109 South LEAVITT ,109 S LEAVITT ST,"Chicago, IL","109 S LEAVITT ST, Chicago, IL","1", Quarterly Calendar,November,,"1893"," Vol. 2,  No. 3","-87.6813206","41.8796322","109 s leavitt st, chicago, il 60612, usa"
109_South_LEAVITT_@109_S_LEAVITT_ST@.html,109_South_LEAVITT_,109_S_LEAVITT_ST,109 South LEAVITT ,109 S LEAVITT ST,"Chicago, IL","109 S LEAVITT ST, Chicago, IL","1", Quarterly Calendar,February,,"1894"," Vol. 2,  No. 4","-87.6813206","41.8796322","109 s leavitt st, chicago, il 60612, usa"
