,State,Date,Count
425,IN,2015-03-21,1
426,IN,2015-03-26,1
427,IN,2015-04-06,1
428,IN,2015-04-09,2
429,IN,2015-04-12,1
430,IN,2015-06-08,1
431,IN,2015-06-12,2
432,IN,2015-06-13,2
433,IN,2015-06-23,1
434,IN,2015-08-03,2
435,IN,2015-08-09,1
436,IN,2015-08-15,1
437,IN,2015-09-04,2
438,IN,2015-09-10,1
439,IN,2015-09-20,1
440,IN,2015-12-10,1
441,IN,2015-12-12,1
442,KS,2015-01-03,1
443,KS,2015-01-06,1
444,KS,2015-02-13,2
445,KS,2015-03-26,1
446,KS,2015-04-10,2
447,KS,2015-05-09,1
448,KS,2015-05-27,1
449,KS,2015-06-23,2
450,KS,2015-07-16,1
451,KS,2015-07-18,2
452,KS,2015-08-19,1
453,KS,2015-08-22,1
454,KS,2015-10-20,1
455,KY,2015-01-18,2
456,KY,2015-03-29,1
457,KY,2015-04-19,1
458,KY,2015-05-03,1
459,KY,2015-05-20,1
460,KY,2015-05-29,1
461,KY,2015-06-13,1
462,KY,2015-07-07,2
463,KY,2015-08-05,1
464,KY,2015-08-06,1
465,KY,2015-09-14,2
466,KY,2015-09-17,2
467,KY,2015-10-20,2
468,KY,2015-10-22,1
469,KY,2015-10-30,2
470,KY,2015-12-09,2
471,KY,2015-12-22,1
472,LA,2015-01-07,1
473,LA,2015-01-15,2
474,LA,2015-02-23,1
475,LA,2015-03-10,1
476,LA,2015-03-20,1
477,LA,2015-03-22,1
478,LA,2015-03-31,1
479,LA,2015-04-02,2
480,LA,2015-04-06,1
481,LA,2015-04-28,1
482,LA,2015-05-08,1
483,LA,2015-05-12,1
484,LA,2015-05-26,2
485,LA,2015-06-10,1
486,LA,2015-06-14,1
487,LA,2015-06-20,1
488,LA,2015-07-23,2
489,LA,2015-07-25,2
490,LA,2015-07-26,1
491,LA,2015-07-27,1
492,LA,2015-07-29,1
493,LA,2015-09-06,1
494,LA,2015-09-15,2
495,LA,2015-09-16,1
496,LA,2015-09-19,1
497,LA,2015-09-26,1
498,LA,2015-10-11,1
499,LA,2015-10-20,1
500,LA,2015-10-22,1
501,LA,2015-11-03,1
502,LA,2015-12-14,1
503,LA,2015-12-21,1
